"","names","idarea","code_muni"
"607","DIRCE REIS",155,3513850
"608","SANTO ANTÔNIO DA ALEGRIA",538,3547908
"609","MARAPOAMA",327,3528858
"610","PARISI",410,3536257
"611","SANTO ANASTÁCIO",536,3547700
"612","ARANDU",35,3503109
"613","PARAIBUNA",403,3535606
"614","BATATAIS",67,3505906
"615","PEDRA BELA",417,3536802
"616","BIRITIBA MIRIM",75,3506607
"617","SÃO JOSÉ DA BELA VISTA",556,3549508
"618","LUPÉRCIO",316,3527801
"619","GARÇA",193,3516705
"620","RUBINÉIA",502,3544509
"621","SÃO CARLOS",549,3548906
"622","CAIUÁ",103,3509106
"623","RIBEIRÃO DOS ÍNDIOS",487,3543238
"624","CAMPOS DO JORDÃO",111,3509700
"625","SALMOURÃO",508,3545100
"626","ITARARÉ",268,3523206
"627","IGUAPE",234,3520301
"628","PONTES GESTAL",453,3540309
"629","JACUPIRANGA",282,3524600
"630","BADY BASSITT",53,3504602
"631","SANTA ADÉLIA",514,3545605
"632","BORBOREMA",84,3507407
"633","PALMEIRA D'OESTE",399,3535200
"634","ÁLVARES FLORENCE",15,3501202
"635","PENÁPOLIS",423,3537305
"636","HERCULÂNDIA",218,3519006
"637","ALTAIR",11,3500907
"638","EMBU-GUAÇU",170,3515103
"639","CUBATÃO",151,3513504
"640","CHAVANTES",134,3557204
"641","PALMITAL",400,3535309
"642","PORTO FELIZ",456,3540606
"643","CARAGUATATUBA",121,3510500
"644","SETE BARRAS",580,3551801
"645","PARAGUAÇU PAULISTA",402,3535507
